r
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンの白和え, season: 通年, description: 熊本の郷土料理として定着しているクレソン料理の代表例。豆腐・ごま・みりん・塩の白和え衣がクレソンの苦みをまろやかに包む。, cuisine: 和食, created_at: 2026-05-17T11:11:42.872000000Z, region: 日本・熊本郷土料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クリームドクレソン, season: 通年, description: ほうれん草のクリーム煮のクレソンバージョンで、バター・生クリーム・シャロット・ナツメグと合わせてリッチに仕上げる。アメリカのステーキハウス文化における「緑の付け合わせ」の定番として定着しつつある。, cuisine: 南部料理, created_at: 2026-05-17T11:17:13.115000000Z, region: 南部料理・ファインダイニング})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンとリンゴのウォルドーフサラダ, season: 通年, description: 1893年ニューヨーク・ウォルドーフアストリアホテル発祥のウォルドーフサラダにクレソンを加えたバリエーション。リンゴの甘みとクレソンの辛みが対比し、くるみのコクがつなぎ役になる。, cuisine: ニューヨーク料理, created_at: 2026-05-17T11:17:14.040000000Z, region: ニューヨーク料理・クラシック})"
"(:Recipe {needs_review: false, confidence: 0.9, name: サウザン・グリーンズ風クレソン, season: 通年, description: コラードグリーン・マスタードグリーンを豚バラ・ハムホックでじっくり煮込む南部伝統の「グリーンズ」料理にクレソンを加える。豚の脂が溶け出したポット・リカー（煮汁）をクレソンが吸う構造は「出汁を吸う野菜」の文脈そのもの。, cuisine: アメリカ南部料理, created_at: 2026-05-17T11:17:15.085000000Z, region: アメリカ南部料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのチェダーオムレツ, season: 通年, description: チェダーチーズ・クレソンを折り込んだアメリカンスタイルのオムレツ。チーズの濃厚な塩気とクレソンのペパリーな辛みが朝食に刺激を与える。, cuisine: アメリカン, created_at: 2026-05-17T11:17:16.006000000Z, region: アメリカンブレックファスト})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×ポーチドエッグのエッグベネディクト, season: 通年, description: イングリッシュマフィン・カナダベーコン・ポーチドエッグのオランデーズソースで構成するエッグベネディクトの、ほうれん草をクレソンに置き換えたバリエーション。クレソンのほろ苦さがオランデーズの濃厚さを引き締め、より洗練された風味に。, cuisine: ブランチ料理, created_at: 2026-05-17T11:17:16.806000000Z, region: ブランチ料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: 野生クレソンのサラダ, season: 通年, description: アメリカの小川・湧水地帯に自生するクレソンを採取して使うフォレイジング料理。柑橘ビネグレット・バーモント産チーズ・ヘーゼルナッツと組み合わせる。, cuisine: ニューアメリカン, created_at: 2026-05-17T11:17:17.631000000Z, region: ニューアメリカン・フォレイジング})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×カボチャのフォール・サラダ, season: 通年, description: ロースト・バターナッツスカッシュ・クレソン・クランベリー・ペカン・メープルビネグレットで作る秋の定番サラダ。クレソンの辛みがかぼちゃの甘みを引き立てる。アメリカのサンクスギビング前後のメニューとして定番化している。, cuisine: アメリカ料理, created_at: 2026-05-17T11:17:18.456000000Z, region: 秋の季節料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのグリーンゴッデスドレッシング, season: 通年, description: アボカド・ハーブ・ヨーグルト・にんにくで作る「グリーンゴッデスドレッシング」にクレソンを加えたカリフォルニア発のバリエーション。より鮮やかな緑色と辛みが加わり、サラダだけでなく魚・鶏肉のソースとしても機能する。, cuisine: カリフォルニア料理, created_at: 2026-05-17T11:17:19.393000000Z, region: カリフォルニア料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×コーンブレッド, season: 通年, description: 南部スタイルのコーンブレッドの生地にみじん切りのクレソンを混ぜ込んで焼く。甘いトウモロコシの風味とクレソンのペパリーな辛みが対比を生む、南部スタイルのアップデートとして近年注目されている。, cuisine: 南部料理, created_at: 2026-05-17T11:17:20.602000000Z, region: 南部料理・季節料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りカリビアン・カラルー, season: 通年, description: タロ芋の葉・オクラ・ダシーン・ヤシミルクで作るカリブ海の伝統スープ「カラルー」にクレソンを加える。アフリカ系食文化の葉野菜スープとカリブ固有の食材が合わさった料理。, cuisine: カリブ料理, created_at: 2026-05-17T11:17:21.412000000Z, region: トリニダード・ジャマイカ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×マンゴーのカリビアンサラダ, season: 通年, description: 熟したマンゴーの甘みとクレソンの辛みが対比するカリビアンスタイルのサラダ。ライム・スコッチボネットペッパー・ジャラピーニョ・ハーブのドレッシングで仕上げる。熱帯フルーツとクレソンの相性はブラジルのパイナップルサラダと同じ文脈。, cuisine: カリブ料理, created_at: 2026-05-17T11:17:22.330000000Z, region: カリブ全般})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りポイ鍋, season: 通年, description: タロ芋・ヤムイモをベースとするポリネシアの伝統料理にクレソンを添える。太平洋の島々では清流に自生するクレソンが採取されて料理に使われてきた歴史がある。, cuisine: ポリネシア料理, created_at: 2026-05-17T11:17:23.358000000Z, region: ハワイ・ポリネシア})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×チャモログリル添え, season: 通年, description: グアムのチャモロ料理では豚肉・鶏肉のグリル料理が中心で、クレソンがサイドサラダとして添えられる。スパニッシュ・アジア・太平洋文化が融合したグアム独自の料理文化の中でクレソンが清涼感役として機能する。, cuisine: グアム・チャモロ料理, created_at: 2026-05-17T11:17:24.279000000Z, region: グアム・チャモロ料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×ライム・ラム肉のシチュー, season: 通年, description: トリニダードの伝統的なラム肉のシチューにクレソンを加えた家庭料理。ラム肉の強い旨味と脂をクレソンのほろ苦さが中和する。, cuisine: カリブ料理, created_at: 2026-05-17T11:17:25.337000000Z, region: カリブ海・トリニダード})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りロボ, season: 通年, description: 地熱を使って食材を蒸し焼きにするフィジーの伝統調理「ロボ」で豚肉・キャッサバ・タロと一緒にクレソンを包んで蒸す。長時間の蒸し加熱でクレソンの辛みが完全にまろやかになり、肉汁を吸ったクレソンが絶品になる。, cuisine: フィジー料理, created_at: 2026-05-17T11:17:26.135000000Z, region: フィジー})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りソフリート, season: 通年, description: スペイン語圏カリブの料理の基底調味料「ソフリート」にクレソンを加えたバリエーション。ソフリートはほぼ全ての料理の出発点になるため、クレソンを入れることで全体の風味が変化する。, cuisine: カリブ料理, created_at: 2026-05-17T11:17:26.841000000Z, region: プエルトリコ・キューバ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×タロ入りスープ, season: 通年, description: タロ芋・ヤシミルク・豚肉のサモア伝統スープにクレソンを入れる。ヤシミルクのまろやかな甘みとクレソンの辛みが対比を生む。, cuisine: サモア料理, created_at: 2026-05-17T11:17:27.657000000Z, region: サモア・トンガ})"
"(:Recipe {needs_review: false, confidence: 0.8, name: ニュージーランド マオリのクレソン料理, season: 通年, description: マオリの食文化ではハンギ（地熱調理）に葉野菜を入れる習慣があり、クレソンも使われる。ニュージーランドの清流に自生するクレソンは長く食用とされてきた。, cuisine: ニュージーランド・マオリ料理, created_at: 2026-05-17T11:17:28.477000000Z, region: ニュージーランド・マオリ文化})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ポワソン・クリュ, season: 通年, description: 生魚をライムでマリネし、ヤシミルクで和えるタヒチの国民食「ポワソン・クリュ」にクレソンを加えたバリエーション。フランス料理文化の影響を受けたポリネシアでは、クレソンは「フランス野菜」として自然に溶け込んでいる。, cuisine: フレンチポリネシア料理, created_at: 2026-05-17T11:23:39.358000000Z, region: フレンチポリネシア})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンとジャガイモのスープ, season: 通年, description: 春に川辺で採取したクレソンをジャガイモ・バター・サワークリームで煮込む。中欧の伝統的な春の野草料理で、冬の終わりに「血を浄化する」薬草として食べる習慣がある。, cuisine: チェコ・スロバキア料理, created_at: 2026-05-17T11:23:40.344000000Z, region: チェコ・スロバキア料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×ビーツサラダ, season: 通年, description: 東欧で愛されるビーツをクレソンと合わせるサラダ。ビーツの甘みと土っぽさに対し、クレソンのペパリーな辛みが対比を生む。, cuisine: ポーランド・ウクライナ料理, created_at: 2026-05-17T11:23:41.230000000Z, region: ポーランド・ウクライナ料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りボルシチ, season: 通年, description: ビーツ・キャベツ・牛肉の赤いスープ「ボルシチ」の仕上げにクレソンを加える。春バージョンとして青野菜をたっぷり使うボルシチ（ゼレーニ・ボルシチ）の文脈でクレソンが使われる。, cuisine: ウクライナ・ロシア料理, created_at: 2026-05-17T11:23:42.377000000Z, region: ウクライナ・ロシア料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのヴァレーニキ, season: 通年, description: ウクライナの伝統餃子「ヴァレーニキ」にじゃがいも・チーズと一緒にクレソンを詰め込む。生地に包まれることで蒸し加熱され、クレソンの辛みが穏やかになる。, cuisine: ウクライナ料理, created_at: 2026-05-17T11:23:43.340000000Z, region: ウクライナ料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンとコテージチーズのブレックファスト, season: 通年, description: ライブレッド・コテージチーズ・クレソン・ラディッシュを組み合わせる東欧の朝食スタイル。デンマーク・ドイツの朝食文化との連続性があり、シンプルな食材の組み合わせにクレソンが清涼感を加える。, cuisine: 東欧料理, created_at: 2026-05-17T11:23:44.186000000Z, region: ポーランド・バルト三国})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りジャパン, season: 通年, description: ライ麦を発酵させたすっぱいスープ「ジュレク」に茹で卵・白ソーセージとクレソンを加える。発酵の酸味とクレソンの辛みが共鳴し、ポーランドの春の伝統スープにアクセントをもたらす。, cuisine: ポーランド料理, created_at: 2026-05-17T11:23:45.005000000Z, region: ポーランド料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンとザワークラウトの春サラダ, season: 通年, description: 発酵キャベツ（ザワークラウト）とクレソンを合わせるドイツ系春料理。ザワークラウトの酸味・クレソンの辛みがマスタードドレッシングでまとまる。消化促進・腸内環境改善の健康料理として位置づけられる。, cuisine: ドイツ・オーストリア料理, created_at: 2026-05-17T11:23:45.845000000Z, region: ドイツ・オーストリア料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りサーモン・タタール, season: 通年, description: 生鮭のタタールにクレソン・スメタナ・ディル・キャビアを添える北欧前菜。クレソンの辛みが生魚の臭みを抑え、スメタナのまろやかさと融合する。, cuisine: 北欧料理, created_at: 2026-05-17T11:23:46.574000000Z, region: スカンジナビア・北欧})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りクノーデル, season: 通年, description: 古いパン・卵・バターで作る中欧の茹で団子「クノーデル」の生地にクレソンを混ぜ込んで茹でる。重厚なロースト料理の付け合わせとして使われ、クレソンの緑色が視覚的アクセントになる。, cuisine: チェコ・バイエルン料理, created_at: 2026-05-17T11:23:47.565000000Z, region: チェコ・バイエルン料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのスプリングロールスープ, season: 通年, description: 春野菜をふんだんに使うハンガリーの春のスープに、野草として採取したクレソンを加える。東欧の「春を食べる」習慣を体現した料理。, cuisine: ハンガリー・ルーマニア, created_at: 2026-05-17T11:23:48.288000000Z, region: ハンガリー・ルーマニア})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×マンゴー&パイナップルスムージー, season: 通年, description: クレソンのウォータークレスカンパニーが開発した定番スムージー。マンゴーとパイナップルの甘みがクレソンの辛みを中和し、飲みやすい健康飲料になる。, cuisine: グローバル, created_at: 2026-05-17T11:23:49.202000000Z, region: 英国発・グローバル})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×アボカド＆ライムスムージー, season: 通年, description: アボカドのクリーミーさがクレソンの辛みをマスクし、ライムの酸味がリフレッシュ感を与える。タンパク質・健康脂肪・ビタミンが一度に摂れる「完全食的スムージー」。, cuisine: 健康食, created_at: 2026-05-17T11:23:50.098000000Z, region: カリフォルニア・健康食})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×ざくろジュース, season: 通年, description: ざくろの深いポリフェノール色素とクレソンの辛みが合わさる濃厚なデトックスジュース。中東ではざくろは古くから薬果とされており、クレソンとの組み合わせは薬草的価値が二重になる。, cuisine: 欧米・中東融合, created_at: 2026-05-17T11:23:51.064000000Z, region: 欧米・中東融合})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ジン×クレソン×ピンクグレープフルーツカクテル, season: 通年, description: クレソンをシェイカーでマドリングしてジンと合わせ、ピンクグレープフルーツジュースで仕上げる。クレソンのペパリーな辛み・ジンのボタニカル・グレープフルーツの苦みが大人の複雑なカクテルを形成。, cuisine: 英国・クラフトカクテル, created_at: 2026-05-17T11:23:51.806000000Z, region: 英国・クラフトカクテル})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン＆エルダーフラワーマティーニ, season: 通年, description: クレソンの辛みとエルダーフラワーリキュールの甘い花香が合わさる洗練されたカクテル。春夏の季節限定カクテルとして飲食店での差別化に使いやすい。, cuisine: 英国・モダンバー, created_at: 2026-05-17T11:23:52.497000000Z, region: 英国・モダンバー})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×メロン＆ペアジュース, season: 通年, description: メロンのやさしい甘さとペアのフルーティーな甘みでクレソンの辛みを柔らかく包むデトックスジュース。カロリーが低くビタミンCが豊富で、スパダイエット・ファスティングの文脈で使われる。, cuisine: 欧米・デトックス, created_at: 2026-05-17T11:23:54.118000000Z, region: 欧米・デトックス})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンモーニングスムージーボウル, season: 通年, description: クレソンをバナナ・フルーツとブレンドしてソース状にし、グラノーラ・ベリー・ナッツをトッピングするインスタ映えする朝食。アサイーボウルの「緑版」として、スーパーフード朝食ムーブメントの最前線にある。, cuisine: 現代ヘルス料理, created_at: 2026-05-17T11:23:55.039000000Z, region: SNS・現代ヘルス料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンとオレンジのデトックストニック, season: 通年, description: クレソン・オレンジ・生姜・ターメリックで作る機能性飲料。「クレソン＝潤肺・解毒」という薬草的価値をプレミアム価格で訴求するウェルネスブランドに多い。, cuisine: ウェルネス, created_at: 2026-05-17T11:23:56.063000000Z, region: 英国・ウェルネス})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのブルーベリー＆パイナップルスムージー, season: 通年, description: ブルーベリーのアントシアニンとクレソンのビタミンK・C・鉄分が合わさる高栄養スムージー。パイナップルの酵素が消化を助ける。, cuisine: スムージー, created_at: 2026-05-17T11:23:56.785000000Z, region: 栄養補給・スポーツ飲料})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りエッグベネディクト, season: 通年, description: ほうれん草（エッグフローレンタイン）の代わりにクレソンを使うエッグベネディクトのバリエーション。オランデーズソースの濃厚な卵バター味をクレソンの辛みが引き締め、後味をすっきりさせる。, cuisine: アメリカン, created_at: 2026-05-17T11:23:57.496000000Z, region: アメリカン・ブランチ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×スクランブルエッグのトースト, season: 通年, description: バタートーストの上にバタースクランブルエッグを乗せ、生のクレソンをのせるだけの5分朝食。卵の濃厚さとクレソンのペパリーな辛みがコントラストを作る。英国のカフェ・ブレックファストバーで定番化している。, cuisine: 英国料理, created_at: 2026-05-17T11:23:58.749000000Z, region: 英国・カジュアル朝食})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りモーニングフリッタータ, season: 通年, description: クレソン・チーズ・玉ねぎを卵に混ぜ込んでオーブンで焼くイタリア式フリッタータ。作り置きができるためブランチや弁当にも対応。クレソンの加熱でほろ苦さが和らぎ食べやすくなる。, cuisine: イタリアン, created_at: 2026-05-17T11:23:59.564000000Z, region: イタリアン・ブランチ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンとリコッタの全粒クレープ, season: 通年, description: 全粒粉のガレットにリコッタチーズとクレソン・はちみつをはさむ。ブルターニュのガレット文化に清涼感野菜を組み込んだモダンな朝食。, cuisine: フランス系, created_at: 2026-05-17T11:24:00.604000000Z, region: フランス系・ナチュラル朝食})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×スモークサーモンベーグル, season: 通年, description: クリームチーズ・スモークサーモン・クレソン・ケーパー・赤玉ねぎを重ねたニューヨークスタイルのベーグル。スモークサーモンの脂とクレソンの辛みが対比し、ケーパーの塩気が全体をまとめる。ユダヤ系食文化の延長線上。, cuisine: ユダヤ料理, created_at: 2026-05-17T11:24:01.397000000Z, region: ニューヨーク系・ユダヤ料理文化})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入り南インドのドーサ, season: 通年, description: 米と黒レンズ豆を発酵させて焼く南インドのクレープ「ドーサ」の具材にクレソンのココナッツチャトニを添える。通常のコリアンダーチャトニの代わりにクレソンを使うことで独自の辛みが加わる。, cuisine: インド・南インド料理, created_at: 2026-05-17T11:24:02.427000000Z, region: インド・南インド料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのお粥添え, season: 通年, description: 広東の白粥・ベトナムのチャオにクレソンを散らして食べる朝食スタイル。お粥の淡白な味にクレソンの辛みと青草の香りが加わり、体を目覚めさせる。, cuisine: 中国料理・ベトナム料理, created_at: 2026-05-17T11:24:03.231000000Z, region: 中国・広東・ベトナム})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのアボカドトースト, season: 通年, description: サワードウブレッドにアボカドを塗り、クレソン・ハーブソルト・レモンをトッピングするグリーンアボカドトーストの進化版。クレソンの辛みがアボカドのクリーミーさに刺激を加え、栄養価も上がる。, cuisine: 現代カフェ・ヘルス料理, created_at: 2026-05-17T11:24:04.194000000Z, region: 現代カフェ・ヘルス料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入り韓国式クレソンジョン, season: 通年, description: 米粉・卵・クレソンで作る薄焼きのジョン（チヂミ）。クレソンの香りが際立つシンプルな朝食で、醤油・ごま油・酢のタレをつけて食べる。韓国のナムル文化の延長にあるクレソン利用。, cuisine: 韓国料理, created_at: 2026-05-17T11:24:05.089000000Z, region: 韓国朝食・家庭料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンモーニングジュース, season: 通年, description: りんご・セロリ・クレソン・生姜・ライムをコールドプレスした朝の機能性ジュース。英国のウォータークレスカンパニーが推奨。, cuisine: 英国料理, created_at: 2026-05-17T11:24:05.997000000Z, region: 英国・健康ブーム})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのフォカッチャ, season: 通年, description: オリーブオイルをたっぷり使うフォカッチャの生地にクレソンを練り込み、または焼く前に上面に散らす。加熱後のクレソンは辛みが飛んで甘みに変わり、焼き色とともに香ばしさが生まれる。, cuisine: イタリアン・ベーカリー, created_at: 2026-05-17T11:24:06.917000000Z, region: イタリアン・ベーカリー})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りスコーン, season: 通年, description: バタースコーンの生地にクレソンのみじん切りを混ぜ込んで焼くセイボリースコーン。チェダーチーズを合わせるチーズ&クレソンスコーンが英国のカフェ・アフタヌーンティーで定番化しつつある。, cuisine: 英国料理, created_at: 2026-05-17T11:24:07.866000000Z, region: 英国・アフタヌーンティー})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンクリームチーズパン, season: 通年, description: ソフトな菓子パン生地にクレソンを混ぜたクリームチーズを包んで焼く惣菜パン。台湾・日本のベーカリー文化に親和性が高く、見た目の緑色が断面から映える。, cuisine: 日本・台湾式調理パン, created_at: 2026-05-17T11:24:08.776000000Z, region: 日本・台湾式調理パン})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×ゴートチーズキッシュ, season: 通年, description: パイ生地に卵・生クリーム・ゴートチーズ・クレソンを詰めて焼くキッシュ。クレソンの苦みがゴートチーズの独特な風味を引き立て、互いの個性が相乗効果を生む。, cuisine: フランス料理, created_at: 2026-05-17T11:24:09.694000000Z, region: フランス料理・キッシュ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りソーダブレッド, season: 通年, description: 発酵なしで重曹で膨らます素朴なアイルランドのソーダブレッドにクレソンを混ぜ込む。バターミルクの酸味・重曹のほろ苦さ・クレソンの辛みが複雑に絡まる。, cuisine: アイルランド料理, created_at: 2026-05-17T11:24:11.026000000Z, region: アイルランド料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りピザトッピング, season: 通年, description: ピザを焼き上げた直後に生のクレソンをトッピングする。加熱ではなく焼きたての余熱でわずかにしんなりさせる方法。ピザの濃厚な旨味とトマト酸味を、クレソンの清涼感がリセットする。, cuisine: イタリアン, created_at: 2026-05-17T11:24:11.959000000Z, region: イタリアン・モダンピザ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×フェタのブレック, season: 通年, description: 薄いフィロ生地（ユフカ）にフェタチーズとクレソンを包んで揚げまたは焼くトルコのストリートフード「ブレック」のバリエーション。フェタの塩気とクレソンの辛みが融合した、豊富なトルコ系ペイストリー文化の一例。, cuisine: トルコ料理, created_at: 2026-05-17T11:24:12.865000000Z, region: トルコ料理・ペイストリー})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りコーンブレッド, season: 通年, description: 甘いトウモロコシ粉の生地にクレソンを混ぜ込んで焼く。コーンの甘みとクレソンの辛みが対比を生む南部スタイルのアップデート。チリやグリーンズのスープと合わせる伝統的なペアリング。, cuisine: アメリカ南部料理, created_at: 2026-05-17T11:24:13.574000000Z, region: アメリカ南部料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンとチーズのマフィン, season: 通年, description: チェダーまたはグリュイエールチーズとクレソンのみじん切りを生地に混ぜ込んだブランチ向けセイボリーマフィン。甘くないおかず系マフィンで、スープやサラダのお供として英国・北欧のカフェで普及している。, cuisine: 英国料理, created_at: 2026-05-17T11:24:14.395000000Z, region: 英国式セイボリーマフィン})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りベーコンキッシュロレーヌ, season: 通年, description: アルザス・ロレーヌ地方の伝統料理「キッシュロレーヌ」にクレソンを加えたバリエーション。ベーコンの塩気・スモーク香とクレソンのほろ苦さが合わさり、卵のリッチな風味の中に清涼感が生まれる。, cuisine: フランス料理, created_at: 2026-05-17T11:24:15.315000000Z, region: フランス料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのラクト発酵漬け, season: 通年, description: 塩水でクレソンを1〜3日間嫌気発酵させることで、乳酸菌が増殖し、酸みとうまみが加わる。発酵食品として機能し、冷蔵で数週間保存可能。, cuisine: 現代発酵料理, created_at: 2026-05-17T11:24:17.164000000Z, region: 現代発酵料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: 西洋菜の乾燥保存, season: 通年, description: クレソンをブランチングしてから乾燥させる伝統的保存法。乾燥クレソンはスープ・薬膳茶として流通している。, cuisine: 広東料理, created_at: 2026-05-17T11:24:17.874000000Z, region: 広東・台湾の伝統保存法})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのインドスタイルアチャール, season: 通年, description: マスタードオイル・ターメリック・チリ・塩でクレソンを漬けるインド式ピクルス（アチャール）。発酵ではなくオイルマリネだが、数日置くことで味がなじみ保存食として機能する。, cuisine: 南アジア・発酵ピクルス, created_at: 2026-05-17T11:24:18.694000000Z, region: 南アジア・発酵ピクルス})"
"(:Recipe {needs_review: false, confidence: 0.9, name: 酢漬けクレソン, season: 通年, description: 白ワインビネガー・砂糖・塩・ディルでクレソンを数日漬けるピクルス。加熱なしで1〜2日で完成。辛みが穏やかになり酸みが加わって、グリル肉・魚のテリーヌ・サンドイッチの付け合わせとして使いやすい。, cuisine: 欧州・ビネガーピクルス, created_at: 2026-05-17T11:24:19.614000000Z, region: 欧州・ビネガーピクルス})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りザワークラウト風発酵, season: 通年, description: キャベツのザワークラウト発酵プロセスにクレソンを混ぜ込む。キャベツの乳酸発酵の過程でクレソンも一緒に発酵し、独特の辛み・酸み・旨みが加わる保存食が生まれる。, cuisine: ドイツ・東欧料理, created_at: 2026-05-17T11:24:20.536000000Z, region: ドイツ・東欧})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンの醤油漬け, season: 通年, description: クレソンを醤油・みりん・だしで漬け込むシンプルな和風漬け物。数時間で完成し、ご飯の副菜・お茶漬けの具として使える。, cuisine: 和食, created_at: 2026-05-17T11:24:21.585000000Z, region: 日本・家庭料理の知恵})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのナンプラー漬け, season: 通年, description: クレソンをナンプラー・砂糖・ライムジュース・にんにく・唐辛子で漬ける東南アジア式ピクルス。短時間でできるクイックピクルスで、ベトナムの家庭料理「ドア（Dưa）」の延長として自然に成立する。, cuisine: ベトナム料理, created_at: 2026-05-17T11:24:22.584000000Z, region: ベトナム・東南アジア})"
"(:Recipe {needs_review: false, confidence: 0.9, name: 乾燥クレソン茶, season: 通年, description: 干したクレソンをナツメ・クコ・南北杏と合わせてスープや薬膳茶として使う広東系の伝統。「肺を潤し咳を鎮める」薬効が凝縮された保存食品です。, cuisine: 広東料理, created_at: 2026-05-17T11:24:23.712000000Z, region: 広東系伝統薬膳素材})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのペスト・プリザーブ, season: 通年, description: クレソンを大量のオリーブオイルと塩でペースト状にし、瓶詰めして保存するイタリア系の保存法。収穫量が多い時期に農家が仕込む保存加工品として実用性が高い。, cuisine: イタリア料理, created_at: 2026-05-17T21:21:56.118000000Z, region: イタリア・プリザーブ製法})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クリーム・オブ・クレソン・アイスクリーム, season: 通年, description: クレソンを82℃の水浴で加熱した生クリームと合わせてピュレにし、アイスクリームマシンで凍らせる。生クレソンを加熱後に加えることで色が鮮やかな緑を保ちつつ、乳脂肪にクレソンの辛みがまろやかに溶け込む。, cuisine: 分子料理・モダンデザート, created_at: 2026-05-17T21:21:56.848000000Z, region: 分子料理・モダンデザート})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンオイル, season: 通年, description: クレソンをブランチングして氷水に取り、オリーブオイルとともにピュレ化し、漉して鮮やかな緑色のオイルを作る。皿の上にスポイトで点描として使ったり、リゾットに垂らしたりするモダンな仕上げ技術。, cuisine: フランス料理, created_at: 2026-05-17T21:21:57.683000000Z, region: フランス料理・モダンビストロ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのソルベ, season: 通年, description: クレソンをシロップでピュレ化してソルベにする。コース料理のパレットクレンザーとして提供。, cuisine: 現代料理, created_at: 2026-05-17T21:21:58.612000000Z, region: 現代料理・パレットクレンザー})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのエスプーマ, season: 通年, description: クレソンをピュレ化してゼラチンまたはレシチンを加え、ISIシフォンで泡（エスプーマ）にする。見た目は「雲」のように見えるが、口の中でクレソンの香りが弾ける。スペインのモダンキュイジーヌで開発された技法。, cuisine: スペイン料理, created_at: 2026-05-17T21:21:59.448000000Z, region: スペイン・フェランアドリア系})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのジェル, season: 通年, description: クレソンをアガー（寒天）またはゼラチンでゲル化させ、細かいキューブや薄片に成形する。冷たいジェルが温かい料理の上で溶け、クレソンの風味が放出される。, cuisine: 英国・モダンブリティッシュ, created_at: 2026-05-17T21:22:00.220000000Z, region: 英国・モダンブリティッシュ})"
